Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Taxable,Image Src
akrapovic-full-system-titanium-honda-cbr1000rr-r-fireblade-2020,Akrapovič Full System Titanium – Honda CBR1000RR-R Fireblade (2020),<p><strong>Akrapovič Full System Titanium – Honda CBR1000RR-R Fireblade (2020)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2020 Honda CBR1000RR-R Fireblade. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Honda CBR1000RR-R Fireblade, CBR1000RR-R, 2020, Full",TRUE,Title,Default Title,AKR-CBR1000RR-R-FS-TI-2020,5000,shopify,1,deny,manual,1403.68,FALSE,
akrapovic-slip-on-line-titanium-honda-cbr1000rr-r-fireblade-2021,Akrapovič Slip-On Line Titanium – Honda CBR1000RR-R Fireblade (2021),<p><strong>Akrapovič Slip-On Line Titanium – Honda CBR1000RR-R Fireblade (2021)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2021 Honda CBR1000RR-R Fireblade. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Honda CBR1000RR-R Fireblade, CBR1000RR-R, 2021, Slip-On",TRUE,Title,Default Title,AKR-CBR1000RR-R-SL-TI-2021,5000,shopify,1,deny,manual,585.61,FALSE,
akrapovic-slip-on-line-carbon-honda-cbr1000rr-r-fireblade-2020,Akrapovič Slip-On Line Carbon – Honda CBR1000RR-R Fireblade (2020),<p><strong>Akrapovič Slip-On Line Carbon – Honda CBR1000RR-R Fireblade (2020)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2020 Honda CBR1000RR-R Fireblade. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Honda CBR1000RR-R Fireblade, CBR1000RR-R, 2020, Slip-On",TRUE,Title,Default Title,AKR-CBR1000RR-R-SL-CA-2020,5000,shopify,1,deny,manual,807.94,FALSE,
akrapovic-evolution-full-system-titanium-honda-cbr1000rr-r-fireblade-2020,Akrapovič Evolution Full System Titanium – Honda CBR1000RR-R Fireblade (2020),<p><strong>Akrapovič Evolution Full System Titanium – Honda CBR1000RR-R Fireblade (2020)</strong></p><p>Factory original Akrapovič Evolution Full System Titanium for the 2020 Honda CBR1000RR-R Fireblade. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Honda CBR1000RR-R Fireblade, CBR1000RR-R, 2020, Evolution",TRUE,Title,Default Title,AKR-CBR1000RR-R-EVO-TI-2020,5000,shopify,1,deny,manual,1864.26,FALSE,
akrapovic-racing-full-system-titanium-honda-cbr1000rr-r-fireblade-2020,Akrapovič Racing Full System Titanium – Honda CBR1000RR-R Fireblade (2020),<p><strong>Akrapovič Racing Full System Titanium – Honda CBR1000RR-R Fireblade (2020)</strong></p><p>Factory original Akrapovič Racing Full System Titanium for the 2020 Honda CBR1000RR-R Fireblade. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Honda CBR1000RR-R Fireblade, CBR1000RR-R, 2020, Racing",TRUE,Title,Default Title,AKR-CBR1000RR-R-RACE-TI-2020,5000,shopify,1,deny,manual,1875.71,FALSE,
akrapovic-full-system-titanium-honda-cb650r-2024,Akrapovič Full System Titanium – Honda CB650R (2024),<p><strong>Akrapovič Full System Titanium – Honda CB650R (2024)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2024 Honda CB650R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Honda CB650R, CB650R, 2024, Full",TRUE,Title,Default Title,AKR-CB650R-FS-TI-2024,5000,shopify,1,deny,manual,1589.66,FALSE,
akrapovic-slip-on-line-titanium-honda-cb650r-2021,Akrapovič Slip-On Line Titanium – Honda CB650R (2021),<p><strong>Akrapovič Slip-On Line Titanium – Honda CB650R (2021)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2021 Honda CB650R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Honda CB650R, CB650R, 2021, Slip-On",TRUE,Title,Default Title,AKR-CB650R-SL-TI-2021,5000,shopify,1,deny,manual,766.90,FALSE,
akrapovic-slip-on-line-carbon-honda-cb650r-2024,Akrapovič Slip-On Line Carbon – Honda CB650R (2024),<p><strong>Akrapovič Slip-On Line Carbon – Honda CB650R (2024)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2024 Honda CB650R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Honda CB650R, CB650R, 2024, Slip-On",TRUE,Title,Default Title,AKR-CB650R-SL-CA-2024,5000,shopify,1,deny,manual,725.06,FALSE,
akrapovic-evolution-full-system-titanium-honda-cb650r-2024,Akrapovič Evolution Full System Titanium – Honda CB650R (2024),<p><strong>Akrapovič Evolution Full System Titanium – Honda CB650R (2024)</strong></p><p>Factory original Akrapovič Evolution Full System Titanium for the 2024 Honda CB650R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Honda CB650R, CB650R, 2024, Evolution",TRUE,Title,Default Title,AKR-CB650R-EVO-TI-2024,5000,shopify,1,deny,manual,1730.05,FALSE,
akrapovic-racing-full-system-titanium-honda-cb650r-2021,Akrapovič Racing Full System Titanium – Honda CB650R (2021),<p><strong>Akrapovič Racing Full System Titanium – Honda CB650R (2021)</strong></p><p>Factory original Akrapovič Racing Full System Titanium for the 2021 Honda CB650R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Honda CB650R, CB650R, 2021, Racing",TRUE,Title,Default Title,AKR-CB650R-RACE-TI-2021,5000,shopify,1,deny,manual,2200.41,FALSE,
